Empleados= Maria Apellidos= Porras Zuloaga Dni= 483441158MDepartamento= comprasJornada: Incompleto
Empleados= David Apellidos= Alvarez Medina Dni= 762063462WNumero de taller= 10Jornada: Completa
Empleados= Jesus Apellidos= Lopez Fernandez Dni= 762458462WNumero de taller= 20Jornada: Completa
Empleados= Maria Apellidos= Zuluaga Montoya Dni= 330443913YDepartamento= ventasJornada: Incompleto
Empleados= Jose Apellidos= Alvarez Sanchez Dni= 762028463WDepartamento= comprasJornada: Completa
Empleados= Leticia Apellidos= Garcia Lopez Dni= 483444358MNumero de taller= 20Jornada: Completa
Empleados= Alberto Apellidos= Rodriguez Sierra Dni= 765066462WNumero de taller= 10Jornada: Incompleto
Empleados= Carlos Apellidos= Alvarado Gomez Dni= 762066462WNumero de taller= 10Jornada: Incompleto
Empleados= David Apellidos= Alvarez Medina Dni= 762028462WDepartamento= comprasJornada: Incompleto
Empleados= Ana Apellidos= Morante Rincon Dni= 762498462WDepartamento= ventasJornada: Incompleto
Empleados= Ines Apellidos= Lastra Jimenez Dni= 762448462WNumero de taller= 20Jornada: Incompleto
Empleados= Norelis Apellidos= Correa Rios Dni= 202686033LNumero de taller= 20Jornada: Incompleto
